Link,URL,Title
distributed social network,/wiki/Distributed_social_network,Distributed social network
PHP,/wiki/PHP,PHP
wget,/wiki/Wget,Wget
GNUnet,/wiki/GNUnet,GNUnet
Gnuzilla,/wiki/Gnuzilla,Gnuzilla
Mozilla Application Suite,/wiki/Mozilla_Application_Suite,Mozilla Application Suite
free software,/wiki/Free_software,Free software
GNU IceCat,/wiki/GNU_IceCat,GNU IceCat
lsh,/wiki/Lsh,Lsh
Secure Shell,/wiki/Secure_Shell,Secure Shell
LibreJS,/wiki/LibreJS,LibreJS
browser add-on,/wiki/Browser_extension,Browser extension
JavaScript,/wiki/JavaScript,JavaScript
GNU Taler,/wiki/GNU_Taler,GNU Taler
BBS,/wiki/List_of_BBS_software,List of BBS software
GNU Aspell,/wiki/GNU_Aspell,GNU Aspell
Ispell,/wiki/Ispell,Ispell
Gnumeric,/wiki/Gnumeric,Gnumeric
Microsoft Excel,/wiki/Microsoft_Excel,Microsoft Excel
Ocrad,/wiki/Ocrad,Ocrad
optical character recognition,/wiki/Optical_character_recognition,Optical character recognition
3DLDF,/wiki/3DLDF,3DLDF
TeX,/wiki/TeX,TeX
Dia,/wiki/Dia_(software),Dia (software)
GIMP,/wiki/GIMP,GIMP
Photoshop,/wiki/Photoshop,Photoshop
Gnash,/wiki/Gnash_(software),Gnash (software)
browser plugin,/wiki/Browser_plugin,Browser plugin
Adobe Flash,/wiki/Adobe_Flash,Adobe Flash
GNU LibreDWG,/wiki/GNU_LibreDWG,GNU LibreDWG
.dwg,/wiki/.dwg,.dwg
CAD,/wiki/Computer-aided_design,Computer-aided design
GNU LilyPond,/wiki/GNU_LilyPond,GNU LilyPond
Virtual Reality,/wiki/Virtual_reality,Virtual reality
backgammon,/wiki/Backgammon,Backgammon
Rubik's Cube,/wiki/Rubik%27s_Cube,Rubik's Cube
GNU Chess,/wiki/GNU_Chess,GNU Chess
chess engine,/wiki/Chess_engine,Chess engine
glChess,/wiki/GlChess,GlChess
Xboard,/wiki/Xboard,Xboard
GNU Go,/wiki/GNU_Go,GNU Go
GNU FreeDink,/wiki/GNU_FreeDink,GNU FreeDink
